Название раздела,Название товара,Изображение,Артикул,Описание,Производитель
Аксессуары,"Двойной зажим для бюреток, алюминий PDC (эконом)",https://himbio.ru/upload/resize_cache/webp/iblock/335/3352b14aded2a1b9b5e7e5436f3ac3f2.webp,LABC8888AE2,"– Двойной зажим для бюреток сделан из алюминиевого литья под давлением
– Чёрные накладки из ПВХ для качественной фиксации бюретки
– Зажим можно использовать с бюретками до 100 мл, не боясь раздавить их зажимами",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Шпатель из нержавеющей стали, один конец плоский и один конец ложка, 4 дюйма, 100 мм",https://himbio.ru/upload/resize_cache/webp/iblock/d86/d8625139237868429b2287b67869ad36.webp,LASP8888004,– Изготовлены из нержавеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Штанга для основания штатива, 12 х750 мм.",https://himbio.ru/upload/resize_cache/webp/iblock/2d7/2d7abc6b9ef9106a87335db1641e6ae8.webp,LARS8888750,"– Основание изготовлено из прочного сплава c резиновыми полосами по коротким сторонам для устойчивости
– Покрыто безсвинцовой порошковой краской",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,Взвешивающий ковш 3 мл,https://himbio.ru/upload/resize_cache/webp/iblock/c7b/c7b0ce698cd4cd87ce662681cb0389fb.webp,7200003,"– Взвешивающий ковш имеет открытый трубчатый рычаг.
– Идеально подходит для взвешивания небольших количеств красителей и порошков",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Двойной зажим для бюреток, алюминий PDC ",https://himbio.ru/upload/resize_cache/webp/iblock/775/775e544b59f16d999658afa78a641ced.webp,LABC8888A02,"– Двойной зажим для бюреток сделан из алюминиевого литья под давлением
– Чёрные накладки из ПВХ для качественной фиксации бюретки
– Зажим можно использовать с бюретками до 100 мл, не боясь раздавить их зажимами",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Шпатель, 6 дюймов, 150 мм",https://himbio.ru/upload/resize_cache/webp/iblock/a8d/a8d93352c9209f4f3133eda6c2db0a23.webp,LACS8888006,– Изготовлн из неравеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Шпатель, 8 дюймов, 200 мм",https://himbio.ru/upload/resize_cache/webp/iblock/3a2/3a2ff1fb947c73b1622cff67eb7cc2bd.webp,LACS8888008,– Изготовлн из неравеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Трехпальчиковый зажим, алюминий, 8х150 мм",https://himbio.ru/upload/resize_cache/webp/iblock/3eb/3eb4548c8d03c68e413dcc5beb2ef475.webp,LAFC8888AD3,"– Изготовлен из стали и алюминия
– Пальцы покрыты ПВХ",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,Четырехпалый зажим (цинк) с регулируемой муфтой,https://himbio.ru/upload/resize_cache/webp/iblock/a2b/a2b228076f90dae747d6921b66027731.webp,LAFC8888Z04,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Безмасляный вакуумный насос, модель BORO-017",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,100VP300017,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Четырехпалый алюминиевый зажим, литой под давлением, 8х150 мм",https://himbio.ru/upload/resize_cache/webp/iblock/fad/fad674b1bbd1771c01cdda8040efc4a8.webp,LAFC8888AD4,"– Изготовлн из стали и алюминия
– Пальцы покрыты ПВХ",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Микрошпатель, 8 дюймов, 200 мм",https://himbio.ru/upload/resize_cache/webp/iblock/2eb/2eb9bac21f0c9555856fb5f850dd8e99.webp,LASL8888C08,– Изготовлен из нержавеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,Взвешивающий ковш 1 мл,https://himbio.ru/upload/resize_cache/webp/iblock/415/4152632d32e36771a0e0ff388c48e0d2.webp,7200001,"– Взвешивающий ковш имеет открытый трубчатый рычаг.
– Идеально подходит для взвешивания небольших количеств красителей и порошков",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Двухпалый цинковый зажим,литой под давлением, 8х150 мм",https://himbio.ru/upload/resize_cache/webp/iblock/b84/b8444e10c2f04f1b54e4dbbeb5a444de.webp,LAFC8888Z02,"– Изготовлен из стали и алюминия
– Пальцы покрыты пробковой накладкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Одинарный зажим для бюретки, с покрытием из ПВХ губки, нержавеющая сталь",https://himbio.ru/upload/resize_cache/webp/iblock/966/9669ca104ecdef92c0e7092f5b60519e.webp,LABC8888B01,"– Двойной зажим для бюреток сделан из алюминиевого литья под давлением
– Чёрные накладки из ПВХ для качественной фиксации бюретки
– Зажим можно использовать с бюретками до 100 мл, не боясь раздавить их зажимами",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Обыкновенная муфта, цинк",https://himbio.ru/upload/resize_cache/webp/iblock/de0/de076bd38d4b39a68108a48021479a27.webp,LABH8888RBL,"– Крепежный узел изготовлен из алюминия и стали
– Может удерживать стержень до 16 мм
– Алюминий покрыт порошковым покртием, а сталь никелирована",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Шпатель из нержавеющей стали, один конец плоский и один конец ложка, 150х20 мм, 8 дюймов",https://himbio.ru/upload/resize_cache/webp/iblock/2d4/2d4634b21d9023ac777a7112fc39e216.webp,LASP8888008,– Изготовлены из нержавеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Держатель для пробирок, нерж.сталь, деревянная ручка",https://himbio.ru/upload/resize_cache/webp/iblock/fa2/fa2dda030b14bfff2a35c4c59140fde2.webp,LATH8888000,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, БПК, со сменной пробкой и пластиковым колпачком 70х143 мм  300 мл",https://himbio.ru/upload/resize_cache/webp/iblock/4d1/4d1e353c7d13fcd0ffe019af9789e9bd.webp,1250A22,"– Соответствуют IS 9213
– Используется для определения ВПК в промышленных сточных водах, отходах и воде
– На каждой бутылке напечатанный индивидуальный номер",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыли для растворов, янтарного оттенка,с тисненым горлышком 70х140 мм горлышко 18  250 мл.",https://himbio.ru/upload/resize_cache/webp/iblock/189/1893cac280f11425c4fefa516a54da0f.webp,1589021,"– Бутыли механически прочные и химически стойкие
– Все бутыли оснащены стойким, матовым, покрытым эмалью окном для маркировки
– Равномерный янтарный цвет отличается высокой прочностью и имеет высокую химическую стойкость
– Свойства бутыли остаются неизменными всё время эксплуатации
– Защищает вещества от светового излучения с длиной волны от 300 нм до 500 нм
– Идеально подходит для использования светочувствительных веществ и для их долгосрочного хранения",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, относит.плотн, с капиллярным отверст., с взаимозам. тефл.пробк. 49 x 65 мм пробка 10/15 50мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/67f/67f677917a1988b83445196e5e9734cd.webp,1624012,"Эти бутыли механически прочные и химически стойкие
• Все размеры оснащены стойким,матовым, покрытым эмалью окном для маркировки
• Поставляется с паспортом предприятеля - изготовителя",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, янтарного цвета, с притертой пробкой, градуирована 45х90 мм пробка 14/23 60 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/644/64495d84f1b25db63a214886c8831edb.webp,1509013,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Широкие горлышки бутылей для хранения реактивов прочные и не дают сколов
– Все бутыли оснащены стойким, матовым, покрытым эмалью окном для маркировки
– Механически прочные и химически стойкие
– Равномерная янтарная окраска
– Свойства бутыли остаются неизменным на всём периоде эксплуатации
– Защищает вещества от светового излучения с длиной волны от 300 нм до 500 нм
– Идеально подходит для использования светочувствительных веществ и для их долгосрочного хранения
– Поставляются со стеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Пробка, только для бутылей для промывки  Кат.  № 1660, пробка 29/32, 1000 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/dcd/dcd77f7734962ca8c9a53f125b800e52.webp,1661029,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, для промывания газов (склянки Дрекселя), с взаимозаменяемой пробкой, пробка 24/29, 500 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/ac7/ac76c9f9c52524bd90dd74550aec4781.webp,1760024,"– Соответствуют IS 11990
– Эти бутыли механически прочные и химически стойкие
– Все бутыли оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, только для бутылей для промывания газов, 50 x 155 мм, 125 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/773/77314ead777307f5c31324f264f24a72.webp,1762017,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и впаянной спускной трубкой 70х135 мм  250 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/798/7987656740d37804734ca7bb26940e39.webp,1220021,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Дозирование жидкостей через трубки
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и впаянной спускной трубкой 136 x 260 мм  2000 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/aa9/aa986cd81101966e83bc56c9e1c936e2.webp,1220030,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Дозирование жидкостей через трубки
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и выходным отверстием для пробки 136 x 260 мм  2000 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/d44/d4464ad5d412b757e836a36b94868f99.webp,1240030,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и выходным отверстием для пробки 180 x 330 мм  5000 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/7fa/7fa9c2ef1f41c4123710ec0e4121773d.webp,1240033,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль, отсосная, с крышкой GL 45 и выходным отверстием для пробки 227х410 мм  10000 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/d50/d50afd6edd5057179d297fe2e357d0e5.webp,1240038,"– Соответствует IS 1388 (ЧастьIII), ISO / DIN 4796 (ЧастьIII)
– Большое окно для маркировки
– Поставляется с навинчивающейся крышкой из ПП и сливным кольцом
– Подходит для хранения агрессивных растворов, которые могут повредить пластиковые детали
– Все размеры оснащены стойким матовым покрытым эмалью окном для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
